hand1,hand2,table1,table2,table3,table4,table5,numPlayers,position,playerChips,action,rank
Qs,7s,Qh,Th,Tc,8s,5s,3,2,95,1,744386
Ah,2h,Qh,Th,Tc,8s,5s,3,3,3,1,391033
4c,Ks,5c,8d,6c,Kh,3d,3,1,0,3,396529
Jh,Kc,5c,8d,6c,Kh,3d,3,2,34,2,397063
4c,Ks,5c,8d,6c,Kh,3d,3,1,0,5,396529
Tc,Jh,9d,Kc,8c,9c,Qc,5,1,14,3,2194055
Ks,Qd,9d,Kc,8c,9c,Qc,5,2,63,2,744582
6c,5c,5s,9c,8s,6d,4d,5,4,12,1,743308
8c,5h,5s,9c,8s,6d,4d,5,5,7,1,743646
Qh,Qc,5d,4s,Ts,5s,7d,4,1,11,1,744323
Tc,Kh,5d,4s,Ts,5s,7d,4,3,4,1,743988
Kh,Qh,4s,Kc,9s,8d,7d,5,2,4,1,397247
Ah,Th,4s,Kc,9s,8d,7d,5,3,7,3,368348
Kh,Qh,4s,Kc,9s,8d,7d,5,2,4,2,397247
3c,2c,5d,9c,Tc,9s,9h,5,4,117,1,1115169
Ks,Ac,5d,9c,Tc,9s,9h,5,5,12,1,1115229
Kh,Qd,5c,9d,Jd,Tc,8s,6,2,16,3,1485183
8d,Js,5c,9d,Jd,Tc,8s,6,4,4,2,744193
Js,9s,4s,6d,7d,Qh,Qs,6,1,68,1,394880
8s,7s,4s,6d,7d,Qh,Qs,6,4,180,1,744347
Jh,Kh,4s,6d,7d,Qh,Qs,6,6,31,1,395244
3h,2d,7c,Ah,9h,3s,Th,7,2,37,3,375629
Ad,As,7c,Ah,9h,3s,Th,7,3,61,2,1116018
Ks,Jc,6s,9c,Tc,8h,4h,8,4,27,3,335393
Jh,Th,6s,9c,Tc,8h,4h,8,5,46,2,390487
Qh,7c,Qs,3h,Qd,3d,Th,8,1,127,3,2227889
Kd,3c,Qs,3h,Qd,3d,Th,8,2,98,2,2227781
6d,Jh,9d,Js,5d,9h,3d,7,1,244,1,744202
2h,As,9d,Js,5d,9h,3d,7,2,573,1,388820
6s,Ad,9d,Js,5d,9h,3d,7,5,212,1,388821
Tc,Qs,8c,8h,Js,Ks,Kd,7,1,572,1,744533
9h,4s,8c,8h,Js,Ks,Kd,7,2,868,1,744532
9s,6c,8c,8h,Js,Ks,Kd,7,6,244,1,744532
6s,Qc,6d,8h,Kc,3c,9d,8,2,98,1,382077
5h,5d,6d,8h,Kc,3c,9d,8,4,62,1,379840
8c,9h,6c,Kd,Ts,Qc,Td,8,2,13,1,390865
9c,Kc,6c,Kd,Ts,Qc,Td,8,4,10,1,744559
Tc,Js,5d,2c,3d,3h,7s,8,1,1,3,375120
Jh,Jc,5d,2c,3d,3h,7s,8,3,1,2,744125
Ac,Ts,Qh,2c,Ad,4s,Jd,8,3,4,1,399472
As,5s,Qh,2c,Ad,4s,Jd,8,8,21,1,399467
Tc,2c,Ts,2s,5s,Jd,7s,8,1,34,1,743947
Th,Jh,Ts,2s,5s,Jd,7s,8,4,11,1,744216
Kh,9c,Kc,Qc,8h,7c,3d,8,2,25,1,397247
Qd,Jc,Kc,Qc,8h,7c,3d,8,7,12,3,395245
Kh,9c,Kc,Qc,8h,7c,3d,8,2,25,2,397247
Qc,Th,9h,5s,7d,2d,3h,7,2,130,1,304437
As,6d,9h,5s,7d,2d,3h,7,7,123,1,359011
Td,9s,9d,Th,8h,5h,6d,7,1,10,1,744035
Ah,Ts,9d,Th,8h,5h,6d,7,5,5,1,390994
3d,2d,Jc,Kc,Jd,9d,Qd,8,2,2,3,2163044
Th,Kd,Jc,Kc,Jd,9d,Qd,8,8,6,4,1485183
3d,2d,Jc,Kc,Jd,9d,Qd,8,2,2,2,2163044
8s,8h,5c,Jd,6h,3c,7c,9,6,4,1,386065
4s,5d,5c,Jd,6h,3c,7c,9,8,1,3,1485177
8s,8h,5c,Jd,6h,3c,7c,9,6,4,2,386065
6h,6c,7d,4c,8h,8c,Th,6,1,4,1,743660
Jd,Js,7d,4c,8h,8c,Th,6,3,11,1,744193
Td,Ts,9s,Jc,6d,2c,7h,8,2,7,1,390486
Ah,Jh,9s,Jc,6d,2c,7h,8,8,9,3,393190
Td,Ts,9s,Jc,6d,2c,7h,8,2,7,2,390486
Qc,Tc,2d,Kc,Jc,Jd,6h,8,1,136,1,393063
5c,Ac,2d,Kc,Jc,Jd,6h,8,7,50,1,393241
Tc,Qc,5h,7c,2s,6c,Qd,10,10,0,2,394684
4c,3c,5h,7c,2s,6c,Qd,10,7,0,3,1485177
4c,3c,5h,7c,2s,6c,Qd,10,7,0,5,1485177
Jd,As,Ac,7s,Ad,Ks,Ah,10,5,6,3,2599218
Kc,4c,Ac,7s,Ad,Ks,Ah,10,6,4,2,2227925
Qc,Kh,3d,6h,Kc,Qd,7d,10,10,8,3,744580
As,Ks,3d,6h,Kc,Qd,7d,10,7,0,1,397623
As,Ks,3d,6h,Kc,Qd,7d,10,7,0,2,397623
As,Ks,3d,6h,Kc,Qd,7d,10,7,0,5,397623
Qd,Qc,5h,Ac,3d,6h,4h,10,1,9,1,395346
Kh,Kc,5h,Ac,3d,6h,4h,10,3,19,1,397543
Th,Js,Ts,As,5s,Jc,6d,10,10,2,2,744223
2d,Qs,Ts,As,5s,Jc,6d,10,2,4,3,366331
Ac,Ks,Jc,6c,3c,9d,2s,9,5,3,1,368515
Jd,Qc,Jc,6c,3c,9d,2s,9,9,5,1,392851
9h,9s,Kc,2s,9d,Jd,8h,9,4,1,3,1115214
Kh,Js,Kc,2s,9d,Jd,8h,9,5,1,2,744569
Ad,7d,Ac,5d,Kc,7s,Td,9,5,1,1,744690
Ah,Qc,Ac,5d,Kc,7s,Td,9,9,1,1,399654
4d,8s,2d,8h,4h,Ts,4s,9,2,0,1,2227790
Ac,Ad,2d,8h,4h,Ts,4s,9,5,0,3,744648
4d,8s,2d,8h,4h,Ts,4s,9,2,0,2,2227790
8d,Qd,Jc,Th,Qc,5c,8c,9,6,3,1,744363
Kd,Qs,Jc,Th,Qc,5c,8c,9,8,6,1,395247
Ks,Ah,Ad,Tc,8c,9c,6s,8,2,59,1,399627
Js,Qc,Ad,Tc,8c,9c,6s,8,7,0,3,1485182
Ks,Ah,Ad,Tc,8c,9c,6s,8,2,59,2,399627
Js,Qc,Ad,Tc,8c,9c,6s,8,7,0,5,1485182
Jc,5c,5d,Ac,Kh,Js,7h,6,1,24,3,744158
Qd,Th,5d,Ac,Kh,Js,7h,6,6,6,4,1485184
Jc,5c,5d,Ac,Kh,Js,7h,6,1,24,2,744158
Qc,Kd,6d,6s,4h,Qs,6h,5,1,24,1,2227820
Qd,9d,6d,6s,4h,Qs,6h,5,2,7,3,2227820
Qc,Kd,6d,6s,4h,Qs,6h,5,1,24,2,2227820
Qh,Jc,5h,Kd,8h,8d,Td,5,1,140,1,386473
Ah,9d,5h,Kd,8h,8d,Td,5,2,138,1,386654
5d,3d,4s,Th,3h,5h,Qh,4,1,5,1,743116
Qs,Td,4s,Th,3h,5h,Qh,4,4,5,1,744383
9d,Tc,6c,2h,9c,9s,Jd,4,2,2,3,1115187
Ad,6s,6c,2h,9c,9s,Jd,4,4,2,2,743833
Kc,Th,6h,Qd,6c,2d,Qc,6,1,94,1,744339
7h,5s,6h,Qd,6c,2d,Qc,6,2,94,1,744333
Td,Js,6h,Qd,6c,2d,Qc,6,3,413,1,744337
7s,Td,Kd,5s,4h,7c,2s,5,1,125,1,384244
Tc,8c,Kd,5s,4h,7c,2s,5,2,550,1,332829
6h,Qd,9d,Ac,Qh,4s,Jd,5,1,3,1,395415
Jc,As,9d,Ac,Qh,4s,Jd,5,5,4,3,744741
6h,Qd,9d,Ac,Qh,4s,Jd,5,1,3,2,395415
2d,Ac,2h,8s,8c,Ad,8h,4,2,2,1,2227848
7d,7c,2h,8s,8c,Ad,8h,4,4,1,3,2227841
2d,Ac,2h,8s,8c,Ad,8h,4,2,2,4,2227848
7d,7c,2h,8s,8c,Ad,8h,4,4,1,2,2227841
5h,5s,5c,9h,3c,9s,2h,4,3,0,3,2227804
As,Ah,5c,9h,3c,9s,2h,4,4,0,2,744708
As,Ah,5c,9h,3c,9s,2h,4,4,0,5,744708
Kd,Jd,9c,8c,4c,8s,3h,3,1,93,1,386458
Qd,7h,9c,8c,4c,8s,3h,3,2,771,1,386261
Ac,Jh,4c,3d,9d,5d,Qs,3,1,70,1,366317
8c,Kd,4c,3d,9d,5d,Qs,3,2,578,1,337405
8s,Th,4c,3d,9d,5d,Qs,3,3,83,1,304450
8d,8c,5h,7c,9c,Tc,Qs,3,1,5,1,386276
Qh,8s,5h,7c,9c,Tc,Qs,3,2,0,1,394712
Ac,Th,4d,7s,6s,Kh,Qc,3,1,187,1,368698
Jd,Tc,4d,7s,6s,Kh,Qc,3,2,79,1,337771
3c,8c,2d,2s,Kc,4c,6d,3,1,34,1,373234
7c,5c,2d,2s,Kc,4c,6d,3,2,304,1,373221
Ac,7d,2d,2h,9s,3h,2s,2,1,110,1,1114042
Tc,Js,2d,2h,9s,3h,2s,2,2,43,1,1114004
7h,Qs,4s,2d,Jc,Ad,8h,2,1,271,1,366306
9s,6c,4s,2d,Jc,Ad,8h,2,2,704,1,363770
9s,7d,Kc,Ks,6c,Ah,Kd,2,1,272,1,1115901
9d,3h,Kc,Ks,6c,Ah,Kd,2,2,704,1,1115901
Ac,8c,6d,Ks,Th,4d,5c,2,1,107,1,368333
9h,Ah,6d,Ks,Th,4d,5c,2,2,46,1,368346
8s,Js,5s,Qh,5d,9d,Tc,2,1,111,1,1485182
Jd,Ts,5s,Qh,5d,9d,Tc,2,2,307,1,743987
Js,Qd,Kd,3s,Td,Th,2c,2,1,14,1,390867
Jd,Kh,Kd,3s,Td,Th,2c,2,2,39,1,744558
Qs,Js,Ad,9c,Tc,3d,5d,2,1,73,1,366334
4d,Ts,Ad,9c,Tc,3d,5d,2,2,345,1,390991
5d,Qh,5h,3s,Jc,2s,2h,2,1,26,1,743103
Kc,Qd,5h,3s,Jc,2s,2h,2,2,127,1,373291
Tc,9c,3d,As,8s,9h,7h,2,1,43,3,388810
9s,4s,3d,As,8s,9h,7h,2,2,9,2,388783
Js,8d,8s,3h,6c,7d,Kd,2,1,14,1,386456
Qh,7h,8s,3h,6c,7d,Kd,2,2,3,1,384273
Tc,Jd,4s,3s,6s,2h,7h,2,1,125,1,275524
Ad,9h,4s,3s,6s,2h,7h,2,2,28,1,359010
7c,Tc,2h,2d,Ad,Qc,6h,2,1,790,1,373459
5s,Js,2h,2d,Ad,Qc,6h,2,2,185,1,373460
9h,Ah,5s,8h,Jc,Qh,2d,2,1,10,1,366320
Tc,Ac,5s,8h,Jc,Qh,2d,2,2,42,1,366333
2d,4h,7c,Ah,5c,4c,8h,2,1,92,1,377798
Jd,Kh,7c,Ah,5c,4c,8h,2,2,326,1,368503
8h,Th,7d,2d,Kd,Ks,4s,2,1,216,1,396895
5h,3h,7d,2d,Kd,Ks,4s,2,2,759,1,396346
7s,6h,Ad,Th,Ts,8h,Kd,2,1,752,1,391046
4d,5h,Ad,Th,Ts,8h,Kd,2,2,224,1,391046
Ks,Kh,Kd,6d,4s,Jh,Tc,2,1,84,1,1115863
Ad,4c,Kd,6d,4s,Jh,Tc,2,2,333,1,377867
2s,5h,8d,3s,2h,3c,3d,2,1,10,3,2227771
Qc,Ad,8d,3s,2h,3c,3d,2,2,42,2,1114214
Kc,4c,Td,3s,3c,Qh,3d,2,1,198,1,1114201
Jh,4d,Td,3s,3c,Qh,3d,2,2,777,1,1114187
Qs,9s,6s,2d,Th,7d,Td,2,1,31,1,390655
Ah,2h,6s,2d,Th,7d,Td,2,2,122,1,743950
9s,5c,Qs,7c,Kh,5h,7d,2,1,183,1,743481
2s,9d,Qs,7c,Kh,5h,7d,2,2,792,1,384274
2d,9d,6h,Jh,6c,3c,4c,2,1,183,1,381695
7c,Kd,6h,Jh,6c,3c,4c,2,2,792,1,382062
Qs,Ad,Ks,8h,6s,Tc,Kd,2,1,338,1,397626
As,7h,Ks,8h,6s,Tc,Kd,2,2,79,1,397598
Kh,Th,Ah,9c,Jc,4d,2d,2,1,10,1,368531
6h,Jh,Ah,9c,Jc,4d,2d,2,2,42,1,393189
8s,8h,Qh,4h,9c,6d,Td,2,1,9,1,386276
Ac,Ts,Qh,4h,9c,6d,Td,2,2,43,1,391034
4d,4s,9s,Kh,Tc,Ad,2h,2,1,126,1,377866
8d,3d,9s,Kh,Tc,Ad,2h,2,2,27,1,368348
Td,Ad,2s,2d,5h,6d,7s,2,1,43,1,373430
Jh,Kh,2s,2d,5h,6d,7s,2,2,9,1,373274
As,9c,3c,Jd,Qc,2s,7d,2,1,70,1,366319
9h,Ah,3c,Jd,Qc,2s,7d,2,2,348,1,366319
4h,5h,2h,Tc,4c,8h,Qd,2,1,128,1,377487
Th,6d,2h,Tc,4c,8h,Qd,2,2,25,1,390641
2c,5s,4c,2s,Qc,Qh,7d,2,1,26,1,744281
Ac,Td,4c,2s,Qc,Qh,7d,2,2,127,1,395400
Qd,7d,2h,Ac,Ad,8h,7h,2,1,27,1,744689
6h,Ks,2h,Ac,Ad,8h,7h,2,2,127,1,399599
8s,5c,Kh,2h,Qs,4h,Kd,2,1,69,1,397231
7s,9d,Kh,2h,Qs,4h,Kd,2,2,348,1,397246
6c,8s,As,4h,8h,7h,4d,2,1,162,1,743638
2h,Qs,As,4h,8h,7h,4d,2,2,813,1,377851
Jh,Qh,6d,3c,8c,Ts,7c,2,1,68,1,306818
2s,3h,6d,3c,8c,Ts,7c,2,2,349,1,374925
9h,Ac,6c,5s,7d,4h,Ad,2,1,44,1,398909
7h,9c,6c,5s,7d,4h,Ad,2,2,8,1,384401
Th,5c,Qd,Ad,9c,Qs,2d,2,1,150,1,395402
Tc,3h,Qd,Ad,9c,Qs,2d,2,2,825,1,395402
9d,Th,Ah,Qh,4d,3c,8c,2,1,823,1,366151
3s,2c,Ah,Qh,4d,3c,8c,2,2,153,1,375654
Ac,4d,7h,Tc,Kc,Jd,Kh,2,1,354,1,397613
3s,9s,7h,Tc,Kc,Jd,Kh,2,2,64,1,397092
2s,8s,As,Qh,2c,9d,Ts,2,1,63,1,373459
4d,5h,As,Qh,2c,9d,Ts,2,2,354,1,366148
Kd,3h,Qd,6d,5d,Qh,As,2,1,353,1,395438
9s,8s,Qd,6d,5d,Qh,As,2,2,65,1,395388
2h,Ah,Ac,9d,Kc,Kd,9s,2,1,3,1,744764
8h,Kh,Ac,9d,Kc,Kd,9s,2,2,14,3,2227908
2h,Ah,Ac,9d,Kc,Kd,9s,2,1,3,2,744764
9c,As,Kc,Qc,6d,Tc,4d,2,1,8,1,368700
Qh,Ad,Kc,Qc,6d,Tc,4d,2,2,44,1,395442
Th,Qc,Jh,Kh,Ad,6c,Jd,2,1,2,Q,1485184
9d,Jc,5d,8d,Qh,5s,4d,3,1,303,1,379698
2h,6s,5d,8d,Qh,5s,4d,3,2,437,1,379656
6d,Ts,2d,Th,4d,Jd,4c,3,1,26,3,743973
Ks,4h,2d,Th,4d,Jd,4c,3,2,13,4,1114369
6d,Ts,2d,Th,4d,Jd,4c,3,1,26,2,743973
Ac,5h,7c,Th,Kd,2c,3d,3,1,232,1,368319
Jh,6s,7c,Th,Kd,2c,3d,3,2,306,1,335365
Qd,4h,8d,5h,Qh,6s,8h,3,2,81,1,744358
Kh,9d,8d,5h,Qh,6s,8h,3,3,109,1,386471
8s,6d,Kh,9c,As,3c,Jc,3,1,310,1,368517
7h,Tc,Kh,9c,As,3c,Jc,3,2,423,1,368531
7c,5d,3d,Ad,9c,2s,3s,3,1,318,1,375614
Qc,Tc,3d,Ad,9c,2s,3s,3,2,174,1,375656
4d,Qd,3d,Ad,9c,2s,3s,3,3,232,1,375655
Kh,Jd,4h,3d,5c,Ad,Jh,3,2,149,1,393240
Js,Kc,4h,3d,5c,Ad,Jh,3,3,82,1,393240
5c,Jc,8c,Ts,9c,Ks,Kd,3,1,36,1,397092
8h,2s,8c,Ts,9c,Ks,Kd,3,2,49,1,744531
9h,Kc,Ts,Qs,Qd,7h,Td,4,2,94,1,744391
Kd,8c,Ts,Qs,Qd,7h,Td,4,4,365,1,744391
5s,7s,5c,As,4s,Ad,4d,3,1,37,1,744658
Jd,Ks,5c,As,4s,Ad,4d,3,3,12,1,744651
8h,5s,7c,Kd,6h,7h,Jh,3,1,30,1,384260
6s,8d,7c,Kd,6h,7h,Jh,3,2,94,1,743494
Ac,As,Tc,Ts,5s,9d,4c,3,1,7,1,744725
4d,5h,Tc,Ts,5s,9d,4c,3,2,10,3,743984
Ac,As,Tc,Ts,5s,9d,4c,3,1,7,2,744725
Jd,7h,Kc,5s,9s,Td,6h,3,1,307,1,335392
3d,2d,Kc,5s,9s,Td,6h,3,2,74,1,332985
8h,Ac,Kc,5s,9s,Td,6h,3,3,252,1,368348
9s,Jd,Ts,8s,6s,3s,Js,3,1,71,3,2132355
2c,Kd,Ts,8s,6s,3s,Js,3,2,81,2,2132157
4h,7h,Th,Ad,3h,Qs,4s,5,1,25,3,377853
As,7d,Th,Ad,3h,Qs,4s,5,2,4,2,399456
Qc,9h,8c,Ts,Qd,Kh,4h,5,1,20,1,395233
Jh,Qh,8c,Ts,Qd,Kh,4h,5,4,9,1,395247
Jd,9d,8c,Ts,Qd,Kh,4h,5,5,2,3,1485183
Qc,9h,8c,Ts,Qd,Kh,4h,5,1,20,2,395233
Jh,Qh,8c,Ts,Qd,Kh,4h,5,4,9,2,395247
2h,5h,Js,4d,4c,Td,6c,5,1,131,1,377316
3s,Qc,Js,4d,4c,Td,6c,5,2,960,1,377502
Jd,3d,5h,Ad,Js,2s,3s,4,1,68,1,744132
8h,8c,5h,Ad,Js,2s,3s,4,2,20,1,386623
4d,Kd,3c,As,5c,Qh,6h,6,2,56,3,368644
Kc,Qd,3c,As,5c,Qh,6h,6,3,16,2,395438
5d,Qs,Ac,Jd,Kh,8c,Qh,6,2,289,1,395443
Th,4h,Ac,Jd,Kh,8c,Qh,6,4,114,1,1485184
Jc,Ac,4c,Kd,Ts,Qd,Th,7,1,3,3,1485184
Td,4d,4c,Kd,Ts,Qd,Th,7,2,3,2,2227864
6s,9s,9d,2s,6h,Jh,3s,6,1,1,3,743830
Ts,Jd,9d,2s,6h,Jh,3s,6,3,6,2,392513
5h,Jh,5c,5d,7h,Tc,6h,6,1,6,3,1114511
Jc,5s,5c,5d,7h,Tc,6h,6,2,3,2,1114511
Ks,Td,Ts,5s,As,Tc,7d,7,5,4,1,1115398
9s,6s,Ts,5s,As,Tc,7d,7,6,22,1,2218011
8h,7h,6c,8c,8s,6s,3d,7,4,3,3,2227840
8d,7d,6c,8c,8s,6s,3d,7,7,1,2,2227840
8h,7d,2s,3d,8d,3s,3h,6,5,23,1,2227777
4d,Kd,2s,3d,8d,3s,3h,6,6,23,1,1114197
4h,9s,9d,9h,Ad,Qc,2c,7,2,17,3,1115228
Ac,Jc,9d,9h,Ad,Qc,2c,7,4,21,2,744715
Ts,Tc,Kc,Th,Kd,7s,Jh,6,2,4,3,2227873
8s,9s,Kc,Th,Kd,7s,Jh,6,5,10,2,1485181
6c,9d,9h,5h,Ts,9s,2s,7,2,8,3,1115170
Tc,8c,9h,5h,Ts,9s,2s,7,6,18,2,744035
Qc,Kc,6s,9d,5s,7d,Ac,7,4,4,1,368685
7s,Qs,6s,9d,5s,7d,Ac,7,6,4,1,384443
Ac,Qh,8h,5s,4h,8c,6c,5,3,45,1,386637
Jh,Kd,8h,5s,4h,8c,6c,5,4,33,1,386455
5h,Jh,Th,Qd,9h,Qc,8c,6,2,6,1,1485182
Jc,Tc,Th,Qd,9h,Qc,8c,6,6,4,3,1485182
5h,Jh,Th,Qd,9h,Qc,8c,6,2,6,2,1485182
4d,4h,7d,9d,7h,7s,3c,7,4,6,1,2227825
Ac,9h,7d,9d,7h,7s,3c,7,6,8,1,2227830
Tc,Ac,Ts,Th,Jh,3c,6c,7,5,494,3,1115396
Jc,9s,Ts,Th,Jh,3c,6c,7,7,30,2,744218
4c,Ah,3d,7d,9h,Td,4s,5,2,182,3,377826
Kc,8h,3d,7d,9h,Td,4s,5,4,65,2,333013
8c,Ad,8h,Kh,2h,Jc,Qd,7,1,28,1,386656
Tc,Qc,8h,Kh,2h,Jc,Qd,7,7,33,1,395247
Qh,As,Qd,2c,5s,3c,5h,7,1,357,3,744327
2d,9d,Qd,2c,5s,3c,5h,7,2,221,2,743103
Ah,3d,Th,3c,Qs,2h,3h,7,2,2,1,1114214
8h,9h,Th,3c,Qs,2h,3h,7,3,2,3,2101359
Ah,3d,Th,3c,Qs,2h,3h,7,2,2,4,1114214
8h,9h,Th,3c,Qs,2h,3h,7,3,2,2,2101359
Qs,4s,4c,8h,4d,Qd,Ts,8,4,7,1,2227794
Td,8c,4c,8h,4d,Qd,Ts,8,6,1,3,744026
Qs,4s,4c,8h,4d,Qd,Ts,8,4,7,4,2227794
Td,8c,4c,8h,4d,Qd,Ts,8,6,1,2,744026
2c,2d,Jc,Qd,Qc,3h,7c,9,6,3,1,744285
Kd,Ks,Jc,Qd,Qc,3h,7c,9,8,157,3,744584
2c,2d,Jc,Qd,Qc,3h,7c,9,6,3,2,744285
Qs,Qc,7c,Qd,7h,Js,7s,8,2,149,3,2227893
9d,9s,7c,Qd,7h,Js,7s,8,8,2,2,2227830
Td,Tc,9d,Js,8s,6d,As,7,3,14,1,391021
7s,Qs,9d,Js,8s,6d,As,7,5,2,3,2222771
Td,Tc,9d,Js,8s,6d,As,7,3,14,2,391021
Ad,5d,2d,3d,Ah,9d,3c,8,1,0,1,2215096
Td,Qd,2d,3d,Ah,9d,3c,8,5,1,3,2160847
Ad,5d,2d,3d,Ah,9d,3c,8,1,0,4,2215096
Td,Qd,2d,3d,Ah,9d,3c,8,5,1,2,2160847
Ad,5d,2d,3d,Ah,9d,3c,8,1,0,5,2215096
6s,4s,9s,4h,8s,5h,3d,8,2,669,1,376952
Js,5s,9s,4h,8s,5h,3d,8,8,10,1,379502
Kc,8s,8h,2h,3s,7h,Jh,7,2,20,1,386456
Jd,Th,8h,2h,3s,7h,Jh,7,4,39,1,2132169
5h,4d,3h,4s,Kh,7c,Jc,6,2,74,1,377668
3s,Ac,3h,4s,Kh,7c,Jc,6,5,40,1,375670
6s,Ad,4h,Kd,5c,Th,6c,4,1,49,1,382260
5h,Qs,4h,Kd,5c,Th,6c,4,2,33,1,379881
Ad,5d,Tc,2c,Th,Js,3h,5,1,1066,1,391017
9s,8s,Tc,2c,Th,Js,3h,5,5,16,1,390487
8d,Ad,8c,6c,Jd,4h,9h,5,1,9,1,386627
6s,Qc,8c,6c,Jd,4h,9h,5,2,8,1,381895
6c,Tc,9s,Qc,2c,8d,Qs,5,1,2,1,394712
Kh,Ks,9s,Qc,2c,8d,Qs,5,4,7,1,744582
6h,2d,Jh,6d,Jc,5s,9h,5,2,28,1,744166
Qc,9d,Jh,6d,Jc,5s,9h,5,4,17,3,744208
6h,2d,Jh,6d,Jc,5s,9h,5,2,28,2,744166
Qc,Tc,Ts,2s,3d,5c,Ac,5,2,13,1,391030
5d,5h,Ts,2s,3d,5c,Ac,5,3,5,3,1114550
Qc,Tc,Ts,2s,3d,5c,Ac,5,2,13,2,391030
8c,8d,5d,7h,Ad,6d,5s,6,1,7,1,743651
As,9c,5d,7h,Ad,6d,5s,6,6,17,1,744660
Jh,Kh,3s,6c,6d,9c,5h,6,5,31,1,382064
Js,Th,3s,6c,6d,9c,5h,6,6,12,1,381713
9d,Ac,8d,6d,9s,Kh,5s,7,6,3,1,388849
Ad,8c,8d,6d,9s,Kh,5s,7,7,2,1,386653
Kh,5h,Jh,4s,Qd,Ac,6s,6,1,353,1,368710
8s,3s,Jh,4s,Qd,Ac,6s,6,2,321,1,366305
Th,Qd,Qs,2h,8h,Kc,5h,6,1,4,1,395232
Ah,3h,Qs,2h,8h,Kc,5h,6,6,7,3,2212899
Th,Qd,Qs,2h,8h,Kc,5h,6,1,4,2,395232
8s,8h,Ks,2s,3h,Qc,2d,5,1,135,1,743611
6s,6d,Ks,2s,3h,Qc,2d,5,3,38,1,743273
5c,4c,Ks,2h,Tc,8h,2c,8,2,87,1,373262
Ad,9h,Ks,2h,Tc,8h,2c,8,4,50,1,373472
6h,6c,Ks,2h,Tc,8h,2c,8,6,22,1,743273
As,Kd,8h,Jh,Qc,2c,5c,10,1,140,1,368712
Ks,Th,8h,Jh,Qc,2c,5c,10,2,68,1,337772
9s,Ts,3d,Js,3s,8h,Qc,9,5,0,3,1485182
Ac,3c,3d,Js,3s,8h,Qc,9,7,0,2,1114214
9s,Ts,3d,Js,3s,8h,Qc,9,5,0,5,1485182
As,Qs,3s,Kd,6s,Jh,Ks,9,2,5,1,2225107
Ad,Ah,3s,Kd,6s,Jh,Ks,9,7,11,1,744766
6s,As,Ts,5c,7s,Js,8h,9,2,20,3,2220391
Kh,Ks,Ts,5c,7s,Js,8h,9,4,10,2,397091
5d,4d,6d,2h,7d,Qh,8h,8,7,3,3,1485178
Qd,Ah,Qc,Ks,Ad,6d,7s,8,2,0,3,744755
7d,Kd,Qc,Ks,Ad,6d,7s,8,7,2,2,744522
Ac,Jh,5c,As,8s,7s,Js,8,1,28,1,744737
Kd,Ts,5c,As,8s,7s,Js,8,7,19,1,2220405
9h,Kh,5c,As,8s,7s,Js,8,8,34,3,368517
Ac,Jh,5c,As,8s,7s,Js,8,1,28,2,744737
Kd,Ts,5c,As,8s,7s,Js,8,7,19,2,2220405
Jd,Td,Jc,7h,7s,6s,2h,5,4,9,3,744180
Qs,Qh,Jc,7h,7s,6s,2h,5,5,1,2,744350
6h,7h,As,Js,Td,5c,2h,4,2,775,1,363926
9d,4d,As,Js,Td,5c,2h,4,4,326,1,363951
Kd,9c,Kh,Ks,As,Ac,Js,3,1,103,3,2227913
Ad,6h,Kh,Ks,As,Ac,Js,3,2,253,4,2227925
Kd,9c,Kh,Ks,As,Ac,Js,3,1,103,2,2227913
7s,Qd,Js,Tc,Td,3h,9c,4,2,798,1,390683
5s,5c,Js,Tc,Td,3h,9c,4,4,172,1,743986
Qd,Ac,Td,Js,6c,Kc,6h,3,1,41,1,1485184
8c,9d,Td,Js,6c,Kc,6h,3,3,108,1,382065
Jh,Td,5d,Kd,7s,5c,3h,4,1,202,1,379868
9c,6c,5d,Kd,7s,5c,3h,4,2,905,1,379839
Kd,Ac,9c,6c,Kc,Ad,9h,4,1,9,1,744764
Jc,4c,9c,6c,Kc,Ad,9h,4,2,3,3,2191646
Kd,Ac,9c,6c,Kc,Ad,9h,4,1,9,2,744764
Jd,3s,2c,2h,2s,Kh,2d,2,1,907,1,2599062
Td,9c,2c,2h,2s,Kh,2d,2,2,397,1,2599062
7h,8h,Kh,8s,5c,6h,Ad,3,1,375,1,386651
6c,Qs,Kh,8s,5c,6h,Ad,3,2,420,1,382262
5s,Qs,4c,6c,4d,Kd,8c,3,1,876,1,377682
Qd,2c,4c,6c,4d,Kd,8c,3,2,1004,1,377682
Jd,3d,5c,6c,Kd,6h,8c,3,1,753,1,382063
7c,2s,5c,6c,Kd,6h,8c,3,2,175,1,382023
8d,9d,5c,6c,Kd,6h,8c,3,3,657,1,743663
Tc,Kd,Kc,Js,Qc,6h,3s,3,1,9,1,397275
Ts,9d,Kc,Js,Qc,6h,3s,3,2,11,3,1485183
Tc,Kd,Kc,Js,Qc,6h,3s,3,1,9,2,397275
Kc,4d,Kh,Qs,8c,7c,6c,3,2,24,1,397233
Kd,Jh,Kh,Qs,8c,7c,6c,3,3,89,1,397273
Ts,As,4c,7c,Jd,Jh,5s,3,1,837,1,393203
3d,2s,4c,7c,Jd,Jh,5s,3,2,1049,1,391952
3h,5s,Kd,Ac,Qc,Qd,2d,3,2,197,1,395437
