Play Prior,Bet Prior,Fold Prior,Has Pair Raise Prior,No Pair Raise Prior,Number Of Players,Position,Pot Size,Action,Has Pair
1.00000,0.72381,0.15238,0.00000,0.62500,2,1,7448,r,0
1.00000,0.60748,0.23364,0.50000,0.66667,2,2,17531,c,0
1.00000,0.60714,0.24107,0.50000,0.71429,2,1,40916,B,0
1.00000,0.73394,0.14679,0.00000,0.66667,2,2,17371,B,0
1.00000,0.60177,0.23894,0.50000,0.62500,2,1,40916,c,0
1.00000,0.72727,0.14545,0.00000,0.60000,2,2,17371,k,0
1.00000,0.62791,0.22481,0.50000,0.66667,2,1,40919,B,0
1.00000,0.71318,0.16279,0.00000,0.63636,2,2,17367,B,0
1.00000,0.62308,0.22308,0.50000,0.60000,2,1,40919,c,0
1.00000,0.70769,0.16154,0.00000,0.58333,2,2,17367,k,0
1.00000,0.62821,0.22436,0.50000,0.63636,2,1,40919,B,0
1.00000,0.71154,0.17308,0.00000,0.61538,2,2,17368,B,0
1.00000,0.62420,0.22293,0.50000,0.58333,2,1,40919,c,0
1.00000,0.70701,0.17197,0.00000,0.57143,2,2,17368,k,0
1.00000,0.70988,0.17284,0.00000,0.60000,2,1,17367,B,0
1.00000,0.62963,0.22222,0.50000,0.61538,2,2,40920,B,0
1.00000,0.70552,0.17178,0.00000,0.56250,2,1,17367,c,0
1.00000,0.62577,0.22086,0.50000,0.57143,2,2,40920,k,0
1.00000,0.70909,0.16970,0.00000,0.58824,2,1,2741,B,0
1.00000,0.62651,0.22289,0.66667,0.57143,2,2,6461,B,1
1.00000,0.71084,0.16867,0.00000,0.61111,2,1,2741,r,0
1.00000,0.62874,0.22156,0.75000,0.57143,2,2,6461,r,1
1.00000,0.70659,0.16766,0.00000,0.57895,2,1,2741,c,0
1.00000,0.64000,0.21714,0.75000,0.60000,2,1,40917,B,0
1.00000,0.70455,0.17045,1.00000,0.57895,2,2,17370,B,1
1.00000,0.63636,0.21591,0.75000,0.56250,2,1,40917,c,0
1.00000,0.70056,0.16949,0.50000,0.57895,2,2,17370,k,1
1.00000,0.64674,0.21196,0.75000,0.58824,2,1,17534,B,0
1.00000,0.69519,0.18182,0.50000,0.60000,2,2,7445,B,0
1.00000,0.64865,0.21081,0.75000,0.61111,2,1,17534,r,0
1.00000,0.69149,0.18085,0.50000,0.57143,2,2,7445,c,0
1.00000,0.69744,0.17949,0.50000,0.59091,2,1,2743,B,0
1.00000,0.64767,0.21244,0.75000,0.63158,2,2,6460,B,0
1.00000,0.69898,0.17857,0.50000,0.60870,2,1,2743,r,0
1.00000,0.64948,0.21134,0.75000,0.65000,2,2,6460,r,0
1.00000,0.69543,0.17766,0.50000,0.58333,2,1,2743,c,0
1.00000,0.65366,0.21463,0.75000,0.66667,2,1,40917,B,0
1.00000,0.69712,0.18269,0.50000,0.60000,2,2,17369,B,0
1.00000,0.65049,0.21359,0.75000,0.63636,2,1,40917,c,0
1.00000,0.69378,0.18182,0.50000,0.57692,2,2,17369,k,0
1.00000,0.65315,0.22072,0.75000,0.65217,2,1,40915,B,0
1.00000,0.69778,0.18222,0.50000,0.59259,2,2,17372,B,0
1.00000,0.65022,0.21973,0.75000,0.62500,2,1,40915,c,0
1.00000,0.69469,0.18142,0.50000,0.57143,2,2,17372,k,0
1.00000,0.65678,0.21610,0.75000,0.64000,2,1,17535,B,0
1.00000,0.69295,0.18257,0.50000,0.58621,2,2,7445,B,0
1.00000,0.65823,0.21519,0.75000,0.65385,2,1,17535,r,0
1.00000,0.69008,0.18182,0.50000,0.56667,2,2,7445,c,0
1.00000,0.69231,0.18315,0.50000,0.58065,2,1,7445,B,0
1.00000,0.66171,0.22305,0.75000,0.66667,2,2,17535,B,0
1.00000,0.69343,0.18248,0.50000,0.59375,2,1,7445,r,0
1.00000,0.65926,0.22222,0.75000,0.64286,2,2,17535,c,0
1.00000,0.69231,0.18060,0.50000,0.60606,2,1,7443,B,0
1.00000,0.66667,0.22109,0.75000,0.65517,2,2,17536,B,0
1.00000,0.69000,0.18000,0.50000,0.58824,2,1,7443,c,0
1.00000,0.66780,0.22034,0.75000,0.66667,2,2,17536,r,0
1.00000,0.68771,0.17940,0.50000,0.57143,2,1,7443,c,0
1.00000,0.66892,0.21959,0.75000,0.67742,2,1,40918,B,0
