Play Prior,Bet Prior,Fold Prior,Average Number Of Players,Beginning Chip Count Vs Table Average,Is Winning
1.00000,0.23000,0.04000,2.44,0.6110,0
0.56522,0.08654,0.17308,5.153846153846154,0.8151,0
0.60870,0.13333,0.15238,4.533333333333333,0.0294,0
0.71429,0.08738,0.12621,6.116504854368932,0.0476,0
0.73913,0.09709,0.13592,6.766990291262136,5.7551,1
0.60870,0.09709,0.19417,6.854368932038835,0.0522,0
0.52174,0.07767,0.18447,6.796116504854369,0.4565,1
0.68182,0.07692,0.15385,7.0,0.0249,1
0.43478,0.09901,0.18812,7.188118811881188,0.3441,1
0.69565,0.06796,0.13592,7.436893203883495,0.0163,1
0.50000,0.09000,0.20000,7.64,0.0139,0
0.66667,0.10000,0.14000,7.96,6.4776,0
0.76190,0.07000,0.15000,8.31,0.0239,0
0.50000,0.06000,0.18000,8.24,0.4410,0
0.33333,0.06796,0.21359,8.388349514563107,0.0491,1
0.47826,0.07921,0.20792,8.455445544554456,0.1684,1
0.43478,0.07921,0.19802,8.05940594059406,1.2553,1
0.33333,0.05769,0.20192,8.826923076923077,0.3342,1
0.52174,0.09615,0.18269,9.240384615384615,0.0144,1
0.80952,0.06000,0.12000,9.1,0.0328,1
0.39130,0.06000,0.22000,9.05,0.5566,0
0.56522,0.08000,0.13000,8.88,0.0606,0
0.43478,0.06863,0.20588,8.892156862745098,0.2343,0
0.63636,0.06000,0.20000,8.61,1.8944,1
0.40909,0.05000,0.21000,8.61,0.6848,1
0.47826,0.05000,0.18000,8.78,0.0240,1
0.43478,0.05825,0.19417,8.631067961165048,2.0872,0
0.47826,0.05714,0.20952,8.961904761904762,0.0327,0
0.68182,0.07692,0.14423,9.134615384615385,0.0549,1
0.77273,0.23000,0.12000,7.01,3.3225,1
0.43478,0.04902,0.19608,9.509803921568627,5.6613,0
0.41667,0.06667,0.20952,9.619047619047619,0.2186,1
0.72727,0.07921,0.12871,9.782178217821782,1.2749,1
0.34783,0.05941,0.22772,9.772277227722773,0.3820,0
0.34783,0.06863,0.20588,9.794117647058824,1.7621,0
0.54545,0.06931,0.19802,9.881188118811881,0.0110,1
0.72727,0.04854,0.16505,10.0,0.0530,0
0.85000,0.05825,0.13592,10.0,0.0357,1
0.34783,0.06931,0.19802,9.415841584158416,0.6068,0
0.45455,0.03922,0.20588,10.0,0.0412,0
0.69565,0.20755,0.13208,10.0,2.2612,0
0.59091,0.08738,0.17476,10.0,5.4412,1
0.47826,0.03960,0.20792,10.0,0.1474,1
0.45455,0.03883,0.20388,10.0,0.9399,1
0.75000,0.03960,0.17822,10.0,0.0085,0
0.34783,0.03922,0.22549,10.0,0.3084,0
0.85714,0.12381,0.14286,10.0,0.0273,0
0.94737,0.09000,0.13000,10.0,0.0431,1
0.30435,0.07000,0.22000,10.0,0.3658,0
0.76190,0.05825,0.14563,10.0,0.0865,1
0.61905,0.18812,0.13861,10.0,2.3171,0
0.47826,0.03960,0.21782,10.0,5.5878,0
0.39130,0.06000,0.20000,10.0,0.1564,1
0.16667,0.03922,0.23529,10.0,0.9416,0
0.47619,0.04000,0.20000,10.0,0.3011,0
0.50000,0.03883,0.17476,10.0,0.0117,0
0.54545,0.03922,0.16667,9.705882352941176,0.3455,1
0.90000,0.09709,0.13592,10.0,0.0324,0
0.63636,0.03922,0.15686,10.0,0.0887,1
0.37500,0.03883,0.20388,10.0,0.3494,0
0.52174,0.14706,0.16667,10.0,2.3124,1
0.45833,0.04854,0.19417,10.0,5.4846,0
0.34783,0.04902,0.20588,10.0,0.1537,0
0.50000,0.04902,0.19608,10.0,0.2909,0
0.25000,0.05825,0.23301,10.0,0.9272,0
0.47826,0.03922,0.19608,10.0,0.0226,1
0.50000,0.11000,0.18000,9.9,0.0854,1
0.29167,0.04902,0.19608,9.843137254901961,0.3556,0
0.54545,0.05000,0.19000,9.65,0.1043,0
0.25000,0.04902,0.22549,9.490196078431373,0.4653,0
0.54167,0.14286,0.13333,9.495238095238095,3.0714,1
0.59091,0.07921,0.18812,9.178217821782178,0.4869,0
0.43478,0.04854,0.22330,9.194174757281553,0.2540,0
0.59091,0.04950,0.15842,9.099009900990099,0.0438,1
0.16667,0.04000,0.24000,9.08,1.7028,0
0.43478,0.04717,0.18868,9.0,0.1598,0
0.56522,0.08824,0.17647,8.96078431372549,0.6583,1
0.66667,0.06000,0.17000,8.86,0.1673,0
0.72727,0.22000,0.13000,8.64,4.4142,0
0.34783,0.06863,0.21569,8.617647058823529,0.6654,0
0.39130,0.05941,0.21782,7.653465346534653,0.6084,1
0.54545,0.07843,0.16667,7.313725490196078,0.0565,1
0.90909,0.19608,0.10784,2.6176470588235294,1.6995,1
0.86364,0.19608,0.11765,2.519607843137255,0.1504,0
1.00000,0.23762,0.06931,2.0,0.1687,1
1.00000,0.24038,0.08654,2.0,1.8313,0
0.80000,0.17000,0.13000,3.0,0.4774,1
0.85714,0.25743,0.11881,3.0,2.4751,0
0.68182,0.15534,0.14563,3.0,0.0475,1
0.76190,0.17647,0.17647,3.0,0.4634,0
0.75000,0.15842,0.12871,3.0,0.0414,0
0.90476,0.25000,0.07000,3.0,2.4952,1
0.80952,0.16505,0.13592,3.2427184466019416,0.4927,1
0.72727,0.16832,0.10891,3.405940594059406,0.0449,0
