@relation iswinning-final

@attribute 'Play Prior' numeric
@attribute 'Bet Prior' numeric
@attribute 'Fold Prior' numeric
@attribute 'Average Number Of Players' numeric
@attribute 'Beginning Chip Count Vs Table Average' numeric
@attribute 'Is Winning' {0,1}

@data
0.66667,0.08824,0.15686,5.676471,0.116,1
0.57143,0.11,0.18,4.97,0.5549,0
0.68182,0.22772,0.12871,5.029703,3.3865,0
0.61905,0.17476,0.12621,5.475728,0.4528,1
0.56522,0.08738,0.20388,5.466019,0.4599,1
0.5,0.07767,0.17476,5.854369,1.1433,1
0.59091,0.08911,0.16832,5.772277,0.6407,1
0.72727,0.10784,0.16667,4.911765,0.6623,0
0.72727,0.11765,0.10784,4.401961,0.3631,0
0.63636,0.13,0.14,4,1.8234,1
0.73913,0.14423,0.17308,4,0.9931,0
0.59091,0.09709,0.18447,4.38835,0.422,0
0.63636,0.11,0.14,4.96,0.1564,1
0.73913,0.09709,0.15534,5.990291,0.6481,1
0.59091,0.08,0.19,6.55,4.806,0
0.7619,0.14851,0.09901,6.881188,0.2519,0
0.47826,0.08738,0.20388,6.330097,0.3402,1
0.42857,0.06,0.2,7.09,0.2905,0
0.63636,0.11,0.12,7.02,0.1364,1
0.6087,0.07843,0.17647,7.039216,0.1777,1
0.3913,0.0396,0.18812,9.227723,0.0284,1
0.54545,0.06863,0.16667,6.764706,0.6355,0
0.59091,0.09901,0.16832,6.683168,5.0447,1
0.47826,0.09,0.19,6.69,0.3462,1
0.54545,0.08911,0.17822,6.782178,0.284,1
0.43478,0.07767,0.19417,6.543689,0.1707,1
0.52174,0.07767,0.16505,6.116505,0.5808,0
0.6087,0.08824,0.14706,5.95098,4.5241,1
0.3913,0.08738,0.18447,5.84466,0.3051,0
0.5,0.08911,0.17822,6.346535,0.0178,1
0.63636,0.11,0.17,5.34,0.2551,1
0.72727,0.07692,0.14423,5.048077,0.8389,0
0.6087,0.10784,0.17647,5.04902,0.5106,1
0.68182,0.05882,0.17647,5.862745,0.114,0
0.54545,0.08,0.16,5.24,0.021,0
0.65217,0.09615,0.16346,5.25,0.4099,0
0.59091,0.13725,0.17647,5.254902,3.5465,0
0.6087,0.08654,0.13462,5.355769,0.8023,0
0.43478,0.08911,0.19802,5.39604,0.4452,0
0.54545,0.08,0.14,5.22,0.0184,1
0.59091,0.09615,0.18269,5.192308,0.3457,0
0.68182,0.12,0.17,5.12,3.5369,1
0.72727,0.09901,0.13861,6.613861,0.0937,0
0.54545,0.1,0.17,5.91,0.7461,1
0.56522,0.09709,0.19417,6.825243,0.3941,0
0.63636,0.06863,0.16667,7.627451,0.0366,1
0.43478,0.06931,0.18812,7.633663,0.953,1
0.52174,0.06931,0.20792,7.871287,2.6773,0
0.52174,0.06931,0.18812,8.247525,0.083,0
0.43478,0.09804,0.19608,7.676471,0.7725,0
0.29167,0.05825,0.17476,9.116505,0.1072,0
0.59091,0.07921,0.18812,9.514851,0.1605,0
0.34783,0.06,0.21,9.57,1.1147,0
0.63636,0.08911,0.14851,6.891089,0.7381,1
0.65217,0.06796,0.14563,8.932039,0.1201,1
0.47826,0.06863,0.18627,9.519608,0.0714,1
0.5,0.06796,0.17476,9.524272,1.3548,1
0.56522,0.05,0.2,9.57,3.7832,1
0.43478,0.04902,0.18627,9.588235,0.124,1
0.29167,0.0495,0.22772,9.386139,1.484,0
0.47826,0.07619,0.18095,7.87619,1.0919,1
0.63636,0.08,0.14,6.76,0.0417,0
0.5,0.08824,0.17647,6.294118,3.0221,1
0.72727,0.07843,0.15686,5.882353,0.111,1
0.56522,0.1068,0.19417,5.349515,1.1647,1
0.8,0.16,0.13,3.78,1.0788,0
0.90476,0.17476,0.1068,3.281553,0.0392,1
1,0.21569,0.04902,2,1.961,0
1,0.20388,0.09709,2,0.039,1
1,0.26471,0.09804,2,1.9618,1
1,0.21154,0.06731,2,0.0384,0
1,0.22,0.11,2,1.9622,1
1,0.21359,0.09709,2,0.0383,1
1,0.22,0.07,2,1.96,0
1,0.21359,0.07767,2,0.0397,1
1,0.23529,0.09804,2,1.9603,1
1,0.19608,0.08824,2,0.0388,0
1,0.22772,0.06931,2.049505,1.9936,1
1,0.19608,0.09804,2.264706,0.0406,0
1,0.19608,0.08824,2.460784,0.1266,0
1,0.21359,0.1165,2.097087,0.3465,1
1,0.23301,0.08738,2,1.1998,1
1,0.19,0.1,2,0.7743,0
1,0.23529,0.05882,2,1.2646,1
1,0.20192,0.125,2,0.7202,0
1,0.23,0.04,2.44,0.611,0
0.56522,0.08654,0.17308,5.153846,0.8151,0
0.6087,0.13333,0.15238,4.533333,0.0294,0
0.71429,0.08738,0.12621,6.116505,0.0476,0
0.73913,0.09709,0.13592,6.76699,5.7551,1
0.6087,0.09709,0.19417,6.854369,0.0522,0
0.52174,0.07767,0.18447,6.796117,0.4565,1
0.68182,0.07692,0.15385,7,0.0249,1
0.43478,0.09901,0.18812,7.188119,0.3441,1
0.69565,0.06796,0.13592,7.436893,0.0163,1
0.5,0.09,0.2,7.64,0.0139,0
0.66667,0.1,0.14,7.96,6.4776,0
0.7619,0.07,0.15,8.31,0.0239,0
0.5,0.06,0.18,8.24,0.441,0
0.33333,0.06796,0.21359,8.38835,0.0491,1
0.47826,0.07921,0.20792,8.455446,0.1684,1
0.43478,0.07921,0.19802,8.059406,1.2553,1
0.33333,0.05769,0.20192,8.826923,0.3342,1
0.52174,0.09615,0.18269,9.240385,0.0144,1
0.80952,0.06,0.12,9.1,0.0328,1
0.3913,0.06,0.22,9.05,0.5566,0
0.56522,0.08,0.13,8.88,0.0606,0
0.43478,0.06863,0.20588,8.892157,0.2343,0
0.63636,0.06,0.2,8.61,1.8944,1
0.40909,0.05,0.21,8.61,0.6848,1
0.47826,0.05,0.18,8.78,0.024,1
0.43478,0.05825,0.19417,8.631068,2.0872,0
0.47826,0.05714,0.20952,8.961905,0.0327,0
0.68182,0.07692,0.14423,9.134615,0.0549,1
0.77273,0.23,0.12,7.01,3.3225,1
0.43478,0.04902,0.19608,9.509804,5.6613,0
0.41667,0.06667,0.20952,9.619048,0.2186,1
0.72727,0.07921,0.12871,9.782178,1.2749,1
0.34783,0.05941,0.22772,9.772277,0.382,0
0.34783,0.06863,0.20588,9.794118,1.7621,0
0.54545,0.06931,0.19802,9.881188,0.011,1
0.72727,0.04854,0.16505,10,0.053,0
0.85,0.05825,0.13592,10,0.0357,1
0.34783,0.06931,0.19802,9.415842,0.6068,0
0.45455,0.03922,0.20588,10,0.0412,0
0.69565,0.20755,0.13208,10,2.2612,0
0.59091,0.08738,0.17476,10,5.4412,1
0.47826,0.0396,0.20792,10,0.1474,1
0.45455,0.03883,0.20388,10,0.9399,1
0.75,0.0396,0.17822,10,0.0085,0
0.34783,0.03922,0.22549,10,0.3084,0
0.85714,0.12381,0.14286,10,0.0273,0
0.94737,0.09,0.13,10,0.0431,1
0.30435,0.07,0.22,10,0.3658,0
0.7619,0.05825,0.14563,10,0.0865,1
0.61905,0.18812,0.13861,10,2.3171,0
0.47826,0.0396,0.21782,10,5.5878,0
0.3913,0.06,0.2,10,0.1564,1
0.16667,0.03922,0.23529,10,0.9416,0
0.47619,0.04,0.2,10,0.3011,0
0.5,0.03883,0.17476,10,0.0117,0
0.54545,0.03922,0.16667,9.705882,0.3455,1
0.9,0.09709,0.13592,10,0.0324,0
0.63636,0.03922,0.15686,10,0.0887,1
0.375,0.03883,0.20388,10,0.3494,0
0.52174,0.14706,0.16667,10,2.3124,1
0.45833,0.04854,0.19417,10,5.4846,0
0.34783,0.04902,0.20588,10,0.1537,0
0.5,0.04902,0.19608,10,0.2909,0
0.25,0.05825,0.23301,10,0.9272,0
0.47826,0.03922,0.19608,10,0.0226,1
0.5,0.11,0.18,9.9,0.0854,1
0.29167,0.04902,0.19608,9.843137,0.3556,0
0.54545,0.05,0.19,9.65,0.1043,0
0.25,0.04902,0.22549,9.490196,0.4653,0
0.54167,0.14286,0.13333,9.495238,3.0714,1
0.59091,0.07921,0.18812,9.178218,0.4869,0
0.43478,0.04854,0.2233,9.194175,0.254,0
0.59091,0.0495,0.15842,9.09901,0.0438,1
0.16667,0.04,0.24,9.08,1.7028,0
0.43478,0.04717,0.18868,9,0.1598,0
0.56522,0.08824,0.17647,8.960784,0.6583,1
0.66667,0.06,0.17,8.86,0.1673,0
0.72727,0.22,0.13,8.64,4.4142,0
0.34783,0.06863,0.21569,8.617647,0.6654,0
0.3913,0.05941,0.21782,7.653465,0.6084,1
0.54545,0.07843,0.16667,7.313725,0.0565,1
0.90909,0.19608,0.10784,2.617647,1.6995,1
0.86364,0.19608,0.11765,2.519608,0.1504,0
1,0.23762,0.06931,2,0.1687,1
1,0.24038,0.08654,2,1.8313,0
0.8,0.17,0.13,3,0.4774,1
0.85714,0.25743,0.11881,3,2.4751,0
0.68182,0.15534,0.14563,3,0.0475,1
0.7619,0.17647,0.17647,3,0.4634,0
0.75,0.15842,0.12871,3,0.0414,0
0.90476,0.25,0.07,3,2.4952,1
0.80952,0.16505,0.13592,3.242718,0.4927,1
0.72727,0.16832,0.10891,3.405941,0.0449,0
0.90909,0.20192,0.11538,3.432692,2.7215,0
0.63636,0.09615,0.17308,5.153846,0.1243,0
0.81818,0.11881,0.11881,4.207921,0.0988,1
0.71429,0.10784,0.18627,4.068627,0.5821,0
0.86364,0.23529,0.07843,3.803922,2.9291,0
0.63636,0.1165,0.15534,4.796117,0.101,0
0.54545,0.09709,0.19417,5.15534,0.673,0
0.80952,0.21,0.14,5.34,3.8076,0
0.47826,0.10577,0.19231,5.269231,0.1163,0
0.54545,0.08738,0.17476,4.980583,0.1394,0
0.63636,0.11765,0.14706,5.029412,0.9532,1
