hand1,hand2,board1,board2,board3,board4,board5,playerCount,position,potSize,Action
-,-,3c,7d,6d,-,-,10,5,12668,-
-,-,3c,7d,6d,-,-,10,6,60632,-
-,-,3c,7d,6d,-,-,10,7,1433,b
-,-,3c,7d,6d,-,-,10,8,10933,-
-,-,3c,7d,6d,-,-,10,9,6200,f
-,-,3c,7d,6d,-,-,10,1,29283,f
-,-,3c,7d,6d,-,-,10,2,265,f
-,-,-,-,-,-,-,10,1,29283,-
-,-,-,-,-,-,-,10,10,894,-
-,-,-,-,-,-,-,10,2,265,-
-,-,-,-,-,-,-,10,3,5567,-
-,-,-,-,-,-,-,10,4,684,-
-,-,-,-,-,-,-,10,5,12668,-
-,-,-,-,-,-,-,10,6,60632,-
-,-,-,-,-,-,-,10,7,1433,-
-,-,-,-,-,-,-,10,8,10933,-
-,-,-,-,-,-,-,10,9,6200,-
-,-,-,-,-,-,-,10,1,3253,-
-,-,-,-,-,-,-,10,10,99,-
-,-,-,-,-,-,-,10,2,29,-
-,-,-,-,-,-,-,10,3,618,-
-,-,-,-,-,-,-,10,4,76,-
-,-,-,-,-,-,-,10,5,1407,-
-,-,-,-,-,-,-,10,6,6736,-
-,-,-,-,-,-,-,10,7,159,-
-,-,-,-,-,-,-,10,8,1214,-
-,-,-,-,-,-,-,10,9,688,-
-,-,-,-,-,-,-,10,1,27,B
-,-,-,-,-,-,-,10,10,3082,f
-,-,-,-,-,-,-,10,2,586,B
-,-,-,-,-,-,-,10,3,72,f
-,-,-,-,-,-,-,10,4,1333,f
9c,Qs,-,-,-,-,-,10,5,6382,r
-,-,-,-,-,-,-,10,6,151,f
-,-,-,-,-,-,-,10,7,1150,f
6s,6d,-,-,-,-,-,10,8,652,c
-,-,-,-,-,-,-,10,9,94,f
-,-,-,-,-,-,-,10,1,27,f
-,-,-,-,-,-,-,10,2,586,f
-,-,As,Kd,4d,-,-,10,1,27,-
-,-,As,Kd,4d,-,-,10,10,3082,-
-,-,As,Kd,4d,-,-,10,2,586,-
-,-,As,Kd,4d,-,-,10,3,72,-
-,-,As,Kd,4d,-,-,10,4,1333,-
9c,Qs,As,Kd,4d,-,-,10,5,6382,k
-,-,As,Kd,4d,-,-,10,6,151,-
-,-,As,Kd,4d,-,-,10,7,1150,-
6s,6d,As,Kd,4d,-,-,10,8,652,k
-,-,As,Kd,4d,-,-,10,9,94,-
-,-,As,Kd,4d,Jc,-,10,1,27,-
-,-,As,Kd,4d,Jc,-,10,10,3082,-
-,-,As,Kd,4d,Jc,-,10,2,586,-
-,-,As,Kd,4d,Jc,-,10,3,72,-
-,-,As,Kd,4d,Jc,-,10,4,1333,-
9c,Qs,As,Kd,4d,Jc,-,10,5,6382,k
-,-,As,Kd,4d,Jc,-,10,6,151,-
-,-,As,Kd,4d,Jc,-,10,7,1150,-
6s,6d,As,Kd,4d,Jc,-,10,8,652,k
-,-,As,Kd,4d,Jc,-,10,9,94,-
-,-,As,Kd,4d,Jc,4h,10,1,27,-
-,-,5c,9d,Th,-,-,6,1,444,-
-,-,5c,9d,Th,-,-,6,2,119,-
-,-,5c,9d,Th,-,-,6,3,121,k
-,-,5c,9d,Th,-,-,6,4,65,b
-,-,5c,9d,Th,-,-,6,5,11,f
-,-,5c,9d,Th,-,-,6,6,429,c
-,-,5c,9d,Th,-,-,6,3,121,f
-,-,5c,9d,Th,Ac,-,6,1,21106,-
-,-,5c,9d,Th,Ac,-,6,2,5674,-
-,-,5c,9d,Th,Ac,-,6,3,5748,-
-,-,5c,9d,Th,Ac,-,6,4,3106,k
-,-,5c,9d,Th,Ac,-,6,5,524,-
-,-,5c,9d,Th,Ac,-,6,6,20380,b
-,-,5c,9d,Th,Ac,-,6,4,3106,f
-,-,-,-,-,-,-,6,1,224,-
-,-,-,-,-,-,-,6,2,60,-
-,-,-,-,-,-,-,6,3,61,-
-,-,-,-,-,-,-,6,4,33,-
-,-,-,-,-,-,-,6,5,5,-
-,-,-,-,-,-,-,6,6,216,-
-,-,-,-,-,-,-,7,1,298,B
-,-,-,-,-,-,-,7,2,302,B
-,-,-,-,-,-,-,7,3,162,c
-,-,-,-,-,-,-,7,4,65,c
-,-,-,-,-,-,-,7,5,27,f
-,-,-,-,-,-,-,7,6,1074,r
-,-,-,-,-,-,-,7,7,1110,f
-,-,-,-,-,-,-,7,1,298,f
-,-,-,-,-,-,-,7,2,302,f
-,-,-,-,-,-,-,7,3,162,c
-,-,-,-,-,-,-,7,4,65,c
-,-,8c,6s,7d,-,-,7,1,5673,-
-,-,8c,6s,7d,-,-,7,2,5744,-
-,-,8c,6s,7d,-,-,7,3,3087,k
-,-,8c,6s,7d,-,-,7,4,1238,k
-,-,8c,6s,7d,-,-,7,5,521,-
-,-,8c,6s,7d,-,-,7,6,20408,b
-,-,8c,6s,7d,-,-,7,7,21106,-
-,-,8c,6s,7d,-,-,7,3,3087,c
-,-,8c,6s,7d,-,-,7,4,1238,r
-,-,8c,6s,7d,-,-,7,6,20408,f
-,-,8c,6s,7d,-,-,7,3,3087,f
-,-,-,-,-,-,-,7,1,5673,-
-,-,-,-,-,-,-,7,2,5744,-
-,-,-,-,-,-,-,7,3,3087,-
-,-,-,-,-,-,-,7,4,1238,-
-,-,-,-,-,-,-,7,5,521,-
-,-,-,-,-,-,-,7,6,20408,-
-,-,-,-,-,-,-,7,7,21106,-
-,-,-,-,-,-,-,7,1,39,-
-,-,-,-,-,-,-,7,2,39,-
-,-,-,-,-,-,-,7,3,21,-
-,-,-,-,-,-,-,7,4,8,-
-,-,-,-,-,-,-,7,5,3,-
-,-,-,-,-,-,-,7,6,140,-
-,-,-,-,-,-,-,7,7,145,-
-,-,-,-,-,-,-,7,1,604,B
-,-,-,-,-,-,-,7,2,322,B
-,-,-,-,-,-,-,7,3,135,r
-,-,-,-,-,-,-,7,4,54,f
-,-,-,-,-,-,-,7,5,2145,f
-,-,-,-,-,-,-,7,6,2221,f
-,-,-,-,-,-,-,7,7,597,c
-,-,-,-,-,-,-,7,1,604,f
-,-,-,-,-,-,-,7,2,322,f
-,-,5s,9d,8s,-,-,7,1,74,-
-,-,5s,9d,8s,-,-,7,2,39,-
-,-,5s,9d,8s,-,-,7,3,16,b
-,-,5s,9d,8s,-,-,7,4,6,-
-,-,5s,9d,8s,-,-,7,5,263,-
-,-,5s,9d,8s,-,-,7,6,272,-
-,-,5s,9d,8s,-,-,7,7,73,r
-,-,5s,9d,8s,-,-,7,3,16,c
-,-,5s,9d,8s,Qh,-,7,1,74,-
-,-,5s,9d,8s,Qh,-,7,2,39,-
-,-,5s,9d,8s,Qh,-,7,3,16,k
-,-,5s,9d,8s,Qh,-,7,4,6,-
-,-,5s,9d,8s,Qh,-,7,5,263,-
-,-,5s,9d,8s,Qh,-,7,6,272,-
-,-,5s,9d,8s,Qh,-,7,7,73,k
-,-,5s,9d,8s,Qh,7h,7,1,37,-
-,-,5s,9d,8s,Qh,7h,7,2,19,-
-,-,5s,9d,8s,Qh,7h,7,3,8,k
-,-,5s,9d,8s,Qh,7h,7,4,3,-
-,-,5s,9d,8s,Qh,7h,7,5,132,-
-,-,5s,9d,8s,Qh,7h,7,6,137,-
-,-,5s,9d,8s,Qh,7h,7,7,36,b
-,-,5s,9d,8s,Qh,7h,7,3,8,f
-,-,-,-,-,-,-,7,1,204,B
-,-,-,-,-,-,-,7,2,83,B
-,-,-,-,-,-,-,7,3,34,f
-,-,-,-,-,-,-,7,4,1358,f
-,-,-,-,-,-,-,7,5,1407,f
-,-,-,-,-,-,-,7,6,380,r
-,-,-,-,-,-,-,7,7,382,c
-,-,-,-,-,-,-,7,1,204,c
-,-,-,-,-,-,-,7,2,83,c
-,-,8s,Js,Th,-,-,7,1,3063,k
-,-,8s,Js,Th,-,-,7,2,1249,k
-,-,8s,Js,Th,-,-,7,3,521,-
-,-,8s,Js,Th,-,-,7,4,20384,-
-,-,8s,Js,Th,-,-,7,5,21106,-
-,-,8s,Js,Th,-,-,7,6,5712,b
-,-,8s,Js,Th,-,-,7,7,5743,f
-,-,8s,Js,Th,-,-,7,1,3063,f
-,-,8s,Js,Th,-,-,7,2,1249,f
-,-,-,-,-,-,-,7,1,3063,-
-,-,-,-,-,-,-,7,2,1249,-
-,-,-,-,-,-,-,7,3,521,-
-,-,-,-,-,-,-,7,4,20384,-
-,-,-,-,-,-,-,7,5,21106,-
-,-,-,-,-,-,-,7,6,5712,-
-,-,-,-,-,-,-,7,7,5743,-
-,-,-,-,-,-,-,7,1,105,-
-,-,-,-,-,-,-,7,2,43,-
-,-,-,-,-,-,-,7,3,17,-
-,-,-,-,-,-,-,7,4,702,-
-,-,-,-,-,-,-,7,5,727,-
-,-,-,-,-,-,-,7,6,196,-
-,-,-,-,-,-,-,7,7,198,-
-,-,-,-,-,-,-,7,1,226,B
-,-,-,-,-,-,-,7,2,94,B
-,-,-,-,-,-,-,7,3,3706,c
-,-,-,-,-,-,-,7,4,3837,f
Js,Th,-,-,-,-,-,7,5,1040,c
-,-,-,-,-,-,-,7,6,1043,f
4c,2h,-,-,-,-,-,7,7,556,c
-,-,-,-,-,-,-,7,1,226,f
-,-,As,Kd,4d,Jc,4h,10,10,3082,-
-,-,As,Kd,4d,Jc,4h,10,2,586,-
-,-,As,Kd,4d,Jc,4h,10,3,72,-
-,-,As,Kd,4d,Jc,4h,10,4,1333,-
9c,Qs,As,Kd,4d,Jc,4h,10,5,6382,k
-,-,As,Kd,4d,Jc,4h,10,6,151,-
-,-,As,Kd,4d,Jc,4h,10,7,1150,-
6s,6d,As,Kd,4d,Jc,4h,10,8,652,k
-,-,As,Kd,4d,Jc,4h,10,9,94,-
-,-,-,-,-,-,-,10,1,1237,B
Ah,Ks,-,-,-,-,-,10,10,58,c
-,-,-,-,-,-,-,10,2,152,B
-,-,-,-,-,-,-,10,3,2815,f
-,-,-,-,-,-,-,10,4,13473,f
-,-,-,-,-,-,-,10,5,319,f
-,-,-,-,-,-,-,10,6,2429,f
8h,7h,-,-,-,-,-,10,7,1378,c
-,-,-,-,-,-,-,10,8,198,f
-,-,-,-,-,-,-,10,9,6507,f
-,-,-,-,-,-,-,10,1,1237,f
-,-,-,-,-,-,-,10,2,152,k
-,-,Kd,8s,3d,-,-,10,1,484,-
Ah,Ks,Kd,8s,3d,-,-,10,10,22,b
-,-,Kd,8s,3d,-,-,10,2,59,k
-,-,Kd,8s,3d,-,-,10,3,1101,-
-,-,Kd,8s,3d,-,-,10,4,5272,-
-,-,Kd,8s,3d,-,-,10,5,124,-
-,-,Kd,8s,3d,-,-,10,6,950,-
8h,7h,Kd,8s,3d,-,-,10,7,539,k
-,-,Kd,8s,3d,-,-,10,8,77,-
-,-,Kd,8s,3d,-,-,10,9,2546,-
-,-,Kd,8s,3d,-,-,10,2,59,f
8h,7h,Kd,8s,3d,-,-,10,7,539,c
-,-,Kd,8s,3d,9h,-,10,1,171,-
Ah,Ks,Kd,8s,3d,9h,-,10,10,8,b
-,-,Kd,8s,3d,9h,-,10,2,21,-
-,-,Kd,8s,3d,9h,-,10,3,389,-
-,-,Kd,8s,3d,9h,-,10,4,1865,-
-,-,Kd,8s,3d,9h,-,10,5,44,-
-,-,Kd,8s,3d,9h,-,10,6,336,-
8h,7h,Kd,8s,3d,9h,-,10,7,190,k
-,-,Kd,8s,3d,9h,-,10,8,27,-
-,-,Kd,8s,3d,9h,-,10,9,900,-
8h,7h,Kd,8s,3d,9h,-,10,7,190,c
-,-,Kd,8s,3d,9h,Ts,10,1,58,-
Ah,Ks,Kd,8s,3d,9h,Ts,10,10,2,c
-,-,Kd,8s,3d,9h,Ts,10,2,7,-
-,-,Kd,8s,3d,9h,Ts,10,3,132,-
-,-,Kd,8s,3d,9h,Ts,10,4,634,-
-,-,Kd,8s,3d,9h,Ts,10,5,15,-
-,-,Kd,8s,3d,9h,Ts,10,6,114,-
8h,7h,Kd,8s,3d,9h,Ts,10,7,64,b
-,-,Kd,8s,3d,9h,Ts,10,8,9,-
-,-,Kd,8s,3d,9h,Ts,10,9,306,-
-,-,-,-,-,-,-,10,1,683,B
-,-,-,-,-,-,-,10,10,5566,f
-,-,-,-,-,-,-,10,2,12668,B
-,-,-,-,-,-,-,10,3,60628,r
-,-,-,-,-,-,-,10,4,1436,f
-,-,-,-,-,-,-,10,5,10933,f
-,-,-,-,-,-,-,10,6,6157,f
-,-,-,-,-,-,-,10,7,894,f
-,-,-,-,-,-,-,10,8,29282,f
-,-,-,-,-,-,-,10,9,312,f
-,-,-,-,-,-,-,10,1,683,f
-,-,-,-,-,-,-,10,2,12668,f
-,-,-,-,-,-,-,10,1,683,-
-,-,-,-,-,-,-,10,10,5566,-
-,-,-,-,-,-,-,10,2,12668,-
-,-,-,-,-,-,-,10,3,60628,-
-,-,-,-,-,-,-,10,4,1436,-
-,-,-,-,-,-,-,10,5,10933,-
-,-,-,-,-,-,-,10,6,6157,-
-,-,-,-,-,-,-,10,7,894,-
-,-,-,-,-,-,-,10,8,29282,-
-,-,-,-,-,-,-,10,9,312,-
-,-,-,-,-,-,-,10,1,683,-
-,-,-,-,-,-,-,10,10,5566,-
-,-,-,-,-,-,-,10,2,12668,-
-,-,-,-,-,-,-,10,3,60628,-
-,-,-,-,-,-,-,10,4,1436,-
-,-,-,-,-,-,-,10,5,10933,-
-,-,-,-,-,-,-,10,6,6157,-
-,-,-,-,-,-,-,10,7,894,-
-,-,-,-,-,-,-,10,8,29282,-
-,-,-,-,-,-,-,10,9,312,-
-,-,-,-,-,-,-,10,1,113,-
-,-,-,-,-,-,-,10,10,927,-
-,-,-,-,-,-,-,10,2,2111,-
-,-,-,-,-,-,-,10,3,10104,-
-,-,-,-,-,-,-,10,4,239,-
-,-,-,-,-,-,-,10,5,1822,-
-,-,-,-,-,-,-,10,6,1026,-
-,-,-,-,-,-,-,10,7,149,-
-,-,-,-,-,-,-,10,8,4880,-
-,-,-,-,-,-,-,10,9,52,-
-,-,-,-,-,-,-,10,1,126,B
-,-,-,-,-,-,-,10,10,6,f
-,-,-,-,-,-,-,10,2,606,B
-,-,-,-,-,-,-,10,3,14,f
-,-,-,-,-,-,-,10,4,109,r
-,-,-,-,-,-,-,10,5,61,f
-,-,-,-,-,-,-,10,6,8,f
-,-,-,-,-,-,-,10,7,292,c
-,-,-,-,-,-,-,10,8,3,f
-,-,-,-,-,-,-,10,9,55,f
-,-,-,-,-,-,-,10,1,126,f
-,-,-,-,-,-,-,10,2,606,r
-,-,-,-,-,-,-,10,4,109,r
-,-,-,-,-,-,-,10,7,292,f
-,-,-,-,-,-,-,10,2,606,c
-,-,3h,4s,Js,-,-,10,1,126,-
-,-,3h,4s,Js,-,-,10,10,6,-
-,-,3h,4s,Js,-,-,10,2,606,k
-,-,3h,4s,Js,-,-,10,3,14,-
-,-,3h,4s,Js,-,-,10,4,109,k
-,-,3h,4s,Js,-,-,10,5,61,-
-,-,3h,4s,Js,-,-,10,6,8,-
-,-,3h,4s,Js,-,-,10,7,292,-
-,-,3h,4s,Js,-,-,10,8,3,-
-,-,3h,4s,Js,-,-,10,9,55,-
-,-,3h,4s,Js,2c,-,10,1,12667,-
-,-,3h,4s,Js,2c,-,10,10,683,-
-,-,3h,4s,Js,2c,-,10,2,60630,k
-,-,3h,4s,Js,2c,-,10,3,1436,-
-,-,-,-,-,-,-,7,2,94,k
-,-,2d,Qc,As,-,-,7,1,85,-
-,-,2d,Qc,As,-,-,7,2,35,k
-,-,2d,Qc,As,-,-,7,3,1405,k
-,-,2d,Qc,As,-,-,7,4,1455,-
Js,Th,2d,Qc,As,-,-,7,5,394,b
-,-,2d,Qc,As,-,-,7,6,395,-
4c,2h,2d,Qc,As,-,-,7,7,211,c
-,-,2d,Qc,As,-,-,7,2,35,f
-,-,2d,Qc,As,-,-,7,3,1405,f
-,-,2d,Qc,As,5d,-,7,1,85,-
-,-,2d,Qc,As,5d,-,7,2,35,-
-,-,2d,Qc,As,5d,-,7,3,1405,-
-,-,2d,Qc,As,5d,-,7,4,1455,-
Js,Th,2d,Qc,As,5d,-,7,5,394,k
-,-,2d,Qc,As,5d,-,7,6,395,-
4c,2h,2d,Qc,As,5d,-,7,7,211,k
-,-,2d,Qc,As,5d,Qd,7,1,85,-
-,-,2d,Qc,As,5d,Qd,7,2,35,-
-,-,2d,Qc,As,5d,Qd,7,3,1405,-
-,-,2d,Qc,As,5d,Qd,7,4,1455,-
Js,Th,2d,Qc,As,5d,Qd,7,5,394,k
-,-,2d,Qc,As,5d,Qd,7,6,395,-
4c,2h,2d,Qc,As,5d,Qd,7,7,211,k
-,-,-,-,-,-,-,7,1,27,B
-,-,-,-,-,-,-,7,2,1072,B
8d,8h,-,-,-,-,-,7,3,1110,c
-,-,-,-,-,-,-,7,4,300,f
8s,9c,-,-,-,-,-,7,5,302,r
-,-,-,-,-,-,-,7,6,161,f
-,-,-,-,-,-,-,7,7,65,f
-,-,-,-,-,-,-,7,1,27,c
-,-,-,-,-,-,-,7,2,1072,c
8d,8h,-,-,-,-,-,7,3,1110,c
-,-,9h,5s,2d,-,-,7,1,9,k
-,-,9h,5s,2d,-,-,7,2,370,k
8d,8h,9h,5s,2d,-,-,7,3,383,k
-,-,9h,5s,2d,-,-,7,4,103,-
8s,9c,9h,5s,2d,-,-,7,5,104,b
-,-,9h,5s,2d,-,-,7,6,55,-
-,-,9h,5s,2d,-,-,7,7,22,-
-,-,9h,5s,2d,-,-,7,1,9,f
-,-,9h,5s,2d,-,-,7,2,370,f
8d,8h,9h,5s,2d,-,-,7,3,383,c
-,-,9h,5s,2d,2c,-,7,1,9,-
-,-,9h,5s,2d,2c,-,7,2,370,-
8d,8h,9h,5s,2d,2c,-,7,3,383,k
-,-,9h,5s,2d,2c,-,7,4,103,-
8s,9c,9h,5s,2d,2c,-,7,5,104,k
-,-,9h,5s,2d,2c,-,7,6,55,-
-,-,9h,5s,2d,2c,-,7,7,22,-
-,-,9h,5s,2d,2c,3d,7,1,9,-
-,-,9h,5s,2d,2c,3d,7,2,370,-
8d,8h,9h,5s,2d,2c,3d,7,3,383,k
-,-,9h,5s,2d,2c,3d,7,4,103,-
8s,9c,9h,5s,2d,2c,3d,7,5,104,k
-,-,9h,5s,2d,2c,3d,7,6,55,-
-,-,9h,5s,2d,2c,3d,7,7,22,-
-,-,-,-,-,-,-,7,1,1314,B
-,-,-,-,-,-,-,7,2,1360,B
-,-,-,-,-,-,-,7,3,368,f
-,-,-,-,-,-,-,7,4,372,f
-,-,-,-,-,-,-,7,5,197,c
-,-,-,-,-,-,-,7,6,80,f
-,-,-,-,-,-,-,7,7,33,r
-,-,-,-,-,-,-,7,1,1314,c
-,-,-,-,-,-,-,7,2,1360,f
-,-,-,-,-,-,-,7,5,197,c
-,-,9c,8h,6c,-,-,7,1,20379,k
-,-,9c,8h,6c,-,-,7,2,21083,-
-,-,9c,8h,6c,-,-,7,3,5717,-
-,-,9c,8h,6c,-,-,7,4,5771,-
-,-,9c,8h,6c,-,-,7,5,3067,k
-,-,9c,8h,6c,-,-,7,6,1245,-
-,-,9c,8h,6c,-,-,7,7,515,b
-,-,3h,4s,Js,2c,-,10,4,10933,b
-,-,9c,8h,6c,-,-,7,1,20379,f
-,-,3h,4s,Js,2c,-,10,5,6157,-
-,-,9c,8h,6c,-,-,7,5,3067,f
-,-,3h,4s,Js,2c,-,10,6,894,-
-,-,-,-,-,-,-,7,1,20379,-
-,-,3h,4s,Js,2c,-,10,7,29282,-
-,-,-,-,-,-,-,7,2,21083,-
-,-,3h,4s,Js,2c,-,10,8,312,-
-,-,-,-,-,-,-,7,3,5717,-
-,-,3h,4s,Js,2c,-,10,9,5566,-
-,-,-,-,-,-,-,7,4,5771,-
-,-,3h,4s,Js,2c,-,10,2,60630,f
-,-,-,-,-,-,-,7,5,3067,-
-,-,-,-,-,-,-,10,1,63,-
-,-,-,-,-,-,-,7,6,1245,-
-,-,-,-,-,-,-,10,10,3,-
-,-,-,-,-,-,-,7,7,515,-
-,-,-,-,-,-,-,10,2,304,-
-,-,-,-,-,-,-,7,1,679,-
-,-,-,-,-,-,-,10,3,7,-
-,-,-,-,-,-,-,7,2,702,-
-,-,-,-,-,-,-,10,4,54,-
-,-,-,-,-,-,-,7,3,190,-
-,-,-,-,-,-,-,10,5,30,-
-,-,-,-,-,-,-,7,4,192,-
-,-,-,-,-,-,-,10,6,4,-
-,-,-,-,-,-,-,7,5,102,-
-,-,-,-,-,-,-,10,7,147,-
-,-,-,-,-,-,-,7,6,41,-
-,-,-,-,-,-,-,10,8,1,-
-,-,-,-,-,-,-,7,7,17,-
-,-,-,-,-,-,-,10,9,27,-
-,-,-,-,-,-,-,7,1,21082,B
-,-,-,-,-,-,-,10,1,13462,B
-,-,-,-,-,-,-,7,2,5717,B
-,-,-,-,-,-,-,10,10,2814,f
-,-,-,-,-,-,-,7,3,5771,r
-,-,-,-,-,-,-,10,2,319,B
-,-,-,-,-,-,-,7,4,3063,f
-,-,-,-,-,-,-,10,3,2441,f
-,-,-,-,-,-,-,7,5,1245,f
-,-,-,-,-,-,-,10,4,1368,c
-,-,-,-,-,-,-,7,6,525,f
-,-,-,-,-,-,-,10,5,198,f
-,-,-,-,-,-,-,7,7,20374,f
-,-,-,-,-,-,-,10,6,6506,c
-,-,-,-,-,-,-,7,1,21082,f
-,-,-,-,-,-,-,10,7,69,f
-,-,-,-,-,-,-,7,2,5717,f
-,-,-,-,-,-,-,10,8,1236,f
-,-,-,-,-,-,-,7,1,21082,-
-,-,-,-,-,-,-,10,9,151,f
-,-,-,-,-,-,-,7,2,5717,-
-,-,-,-,-,-,-,10,1,13462,f
-,-,-,-,-,-,-,7,3,5771,-
-,-,-,-,-,-,-,10,2,319,k
-,-,-,-,-,-,-,7,4,3063,-
-,-,Ah,Kh,Qh,-,-,10,1,60582,-
-,-,-,-,-,-,-,7,5,1245,-
-,-,Ah,Kh,Qh,-,-,10,10,12667,-
-,-,-,-,-,-,-,7,6,525,-
-,-,Ah,Kh,Qh,-,-,10,2,1436,k
-,-,-,-,-,-,-,7,7,20374,-
-,-,Ah,Kh,Qh,-,-,10,3,10984,-
-,-,-,-,-,-,-,7,1,21082,-
-,-,Ah,Kh,Qh,-,-,10,4,6157,b
-,-,-,-,-,-,-,7,2,5717,-
-,-,Ah,Kh,Qh,-,-,10,5,894,-
-,-,-,-,-,-,-,7,3,5771,-
-,-,Ah,Kh,Qh,-,-,10,6,29278,f
-,-,-,-,-,-,-,7,4,3063,-
-,-,Ah,Kh,Qh,-,-,10,7,312,-
-,-,-,-,-,-,-,7,5,1245,-
-,-,Ah,Kh,Qh,-,-,10,8,5566,-
-,-,-,-,-,-,-,7,6,525,-
-,-,Ah,Kh,Qh,-,-,10,9,683,-
-,-,-,-,-,-,-,7,7,20374,-
-,-,Ah,Kh,Qh,-,-,10,2,1436,f
-,-,-,-,-,-,-,7,1,3513,-
-,-,-,-,-,-,-,10,1,60582,-
-,-,-,-,-,-,-,7,2,952,-
-,-,-,-,-,-,-,10,10,12667,-
-,-,-,-,-,-,-,7,3,961,-
-,-,-,-,-,-,-,10,2,1436,-
-,-,-,-,-,-,-,7,4,510,-
-,-,-,-,-,-,-,10,3,10984,-
-,-,-,-,-,-,-,7,5,207,-
-,-,-,-,-,-,-,10,4,6157,-
-,-,-,-,-,-,-,7,6,87,-
-,-,-,-,-,-,-,10,5,894,-
-,-,-,-,-,-,-,7,7,3395,-
-,-,-,-,-,-,-,10,6,29278,-
-,-,-,-,-,-,-,7,1,238,B
-,-,-,-,-,-,-,10,7,312,-
-,-,-,-,-,-,-,7,2,240,B
-,-,-,-,-,-,-,10,8,5566,-
-,-,-,-,-,-,-,7,3,127,c
-,-,-,-,-,-,-,10,9,683,-
Jh,Kh,-,-,-,-,-,7,4,51,c
-,-,-,-,-,-,-,10,1,7572,-
-,-,-,-,-,-,-,7,5,21,f
-,-,-,-,-,-,-,10,10,1583,-
9c,Th,-,-,-,-,-,7,6,848,r
-,-,-,-,-,-,-,10,2,179,-
-,-,-,-,-,-,-,7,7,878,f
-,-,-,-,-,-,-,10,3,1373,-
-,-,-,-,-,-,-,7,1,238,c
-,-,-,-,-,-,-,10,4,769,-
-,-,-,-,-,-,-,7,2,240,f
-,-,-,-,-,-,-,10,5,111,-
-,-,-,-,-,-,-,7,3,127,c
-,-,-,-,-,-,-,10,6,3659,-
Jh,Kh,-,-,-,-,-,7,4,51,c
-,-,-,-,-,-,-,10,7,39,-
-,-,4h,8h,Tc,-,-,7,1,61,k
-,-,-,-,-,-,-,10,8,695,-
-,-,4h,8h,Tc,-,-,7,2,62,-
-,-,-,-,-,-,-,10,9,85,-
-,-,4h,8h,Tc,-,-,7,3,32,k
-,-,-,-,-,-,-,10,1,92,B
Jh,Kh,4h,8h,Tc,-,-,7,4,13,k
-,-,-,-,-,-,-,10,10,3908,r
-,-,4h,8h,Tc,-,-,7,5,5,-
-,-,-,-,-,-,-,10,2,708,B
9c,Th,4h,8h,Tc,-,-,7,6,219,b
-,-,-,-,-,-,-,10,3,397,f
-,-,4h,8h,Tc,-,-,7,7,226,-
-,-,-,-,-,-,-,10,4,57,f
-,-,4h,8h,Tc,-,-,7,1,61,f
-,-,-,-,-,-,-,10,5,1888,f
-,-,4h,8h,Tc,-,-,7,3,32,c
-,-,-,-,-,-,-,10,6,20,c
Jh,Kh,4h,8h,Tc,-,-,7,4,13,c
-,-,-,-,-,-,-,10,7,359,f
-,-,4h,8h,Tc,2s,-,7,1,20,-
-,-,-,-,-,-,-,10,8,44,f
-,-,4h,8h,Tc,2s,-,7,2,20,-
-,-,-,-,-,-,-,10,9,817,f
-,-,4h,8h,Tc,2s,-,7,3,11,k
-,-,-,-,-,-,-,10,1,92,c
Jh,Kh,4h,8h,Tc,2s,-,7,4,4,k
-,-,-,-,-,-,-,10,2,708,f
-,-,4h,8h,Tc,2s,-,7,5,1,-
-,-,-,-,-,-,-,10,6,20,c
9c,Th,4h,8h,Tc,2s,-,7,6,73,b
-,-,Kh,Jh,6h,-,-,10,1,1435,k
-,-,4h,8h,Tc,2s,-,7,7,76,-
-,-,4h,8h,Tc,2s,-,7,3,11,f
-,-,Kh,Jh,6h,-,-,10,10,60582,f
Jh,Kh,4h,8h,Tc,2s,-,7,4,4,c
-,-,Kh,Jh,6h,-,-,10,2,10984,-
-,-,4h,8h,Tc,2s,Ks,7,1,20,-
-,-,Kh,Jh,6h,-,-,10,3,6160,-
-,-,4h,8h,Tc,2s,Ks,7,2,20,-
-,-,Kh,Jh,6h,-,-,10,4,894,-
-,-,4h,8h,Tc,2s,Ks,7,3,11,-
-,-,Kh,Jh,6h,-,-,10,5,29277,-
Jh,Kh,4h,8h,Tc,2s,Ks,7,4,4,k
-,-,Kh,Jh,6h,-,-,10,6,312,b
-,-,4h,8h,Tc,2s,Ks,7,5,1,-
-,-,Kh,Jh,6h,-,-,10,7,5566,-
9c,Th,4h,8h,Tc,2s,Ks,7,6,73,k
-,-,Kh,Jh,6h,-,-,10,8,683,-
-,-,4h,8h,Tc,2s,Ks,7,7,76,-
-,-,Kh,Jh,6h,-,-,10,9,12667,-
7d,6c,-,-,-,-,-,7,1,1442,B
-,-,Kh,Jh,6h,-,-,10,1,1435,f
3s,3d,-,-,-,-,-,7,2,758,B
-,-,-,-,-,-,-,10,1,1435,-
9c,Jd,-,-,-,-,-,7,3,350,c
-,-,-,-,-,-,-,10,10,60582,-
-,-,-,-,-,-,-,7,4,131,f
-,-,-,-,-,-,-,10,2,10984,-
-,-,-,-,-,-,-,7,5,5063,f
-,-,-,-,-,-,-,10,3,6160,-
-,-,-,-,-,-,-,7,6,5270,f
-,-,-,-,-,-,-,10,4,894,-
-,-,-,-,-,-,-,7,7,1427,f
-,-,-,-,-,-,-,10,5,29277,-
